"1","950.00","23001","24000"
"2","925.00","22001","23000"
"3","900.00","21001","22000"
"4","875.00","20001","21000"
"5","850.00","19001","20000"
"6","825.00","18001","19000"
"7","800.00","17001","18000"
"8","775.00","16001","17000"
"9","750.00","15001","16000"
"10","725.00","14001","15000"
"11","700.00","13001","14000"
"12","675.00","12001","13000"
"13","650.00","11001","12000"
"14","625.00","10001","11000"
"15","600.00","9001","10000"
"16","550.00","8001","9000"
"17","500.00","7001","8000"
"18","450.00","6001","7000"
"19","400.00","5001","6000"
"20","325.00","4001","5000"
"21","250.00","3001","4000"
"22","175.00","2001","3000"
"23","125.00","1001","2000"
"24","75.00","501","1000"
"25","45.00","0","500"
